itemId,name,price,ratingScore,review,location,brandName,sellerName,image,categories,itemSoldCntShow,discount,cat_1,cat_2,cat_3,category
2483297730,"Combo/Box of 50 Lighters, High Quality, Assorted Types, Affordable Price and Beautiful Designs, Many Attractive Gifts When You Buy 1 Combo.. (Free Additional Beautiful Products)",76100,5.0,1141,Vietnam,No Brand,Si Nô Shop,https://filebroker-cdn.lazada.vn/kf/S76386d6eff3943b5917914ca73ca5b3a6.jpg,"[10100539, 14440, 8931]",4400.0,0.52,10100539,14440,8931,do_gia_dung
2507176618,Kệ đựng đồ nhà tắm hình tam giác,10400,4.9,2095,Vietnam,No Brand,AChoice-KLS2023,https://filebroker-cdn.lazada.sg/kf/S1000700f258b40f8ad568af44667aa8ar.jpg,"[12645, 12653, 12727]",10300.0,0.37,12645,12653,12727,do_gia_dung
3155332792,"Máy Xay Đa Năng Osaka Nhật Bản - Máy Xay Sinh Tố, Máy xay Thịt Cao Cấp-Lưỡi Dao Lớn Không Gỉ",99000,4.9,212,Vietnam,No Brand,NK.STORE VN,https://sg-test-11.slatic.net/p/be156954adecf327dabdc840d72d9ee1.jpg,"[4400, 4425, 6037, 4438]",683.0,0.17,4400,4425,6037,do_gia_dung
2404591996,"Máy xay đa năng OSAKA Nhật Bản nắp đồng 700ml tiện dụng - Máy say sinh tố, thịt, cá cầm tay , bảo hành 12 tháng , Máy Xay Đồ Ăn Dặm",55000,4.5,248,Vietnam,No Brand,Gia Dụng HN Thông Minh,https://vn-live-01.slatic.net/p/1fb6297c67baab977cb33f59fa7e6e36.png,"[4400, 4425, 6037, 4438]",1100.0,0.38,4400,4425,6037,do_gia_dung
3325052288,KEZILE | High Capacity Household New Model 304 Stainless Steel Electric Kettle,295000,4.9,195,China,KEZILE,kezile,https://filebroker-cdn.lazada.vn/kf/S895273261e694334ba32dfc7d8e0bcccu.png,"[4400, 4425, 6037, 4433]",16.0,0.43,4400,4425,6037,do_gia_dung
1884077681,Dụng cụ vắt cam inox Hoàng Gia,42000,5.0,2,Vietnam,No Brand,Mia 10 gia dụng,https://filebroker-cdn.lazada.vn/kf/S82ac2cb0d0b2483f915937fe5ff010f9d.jpg,"[4400, 4425, 6037, 4438]",5.0,0.35,4400,4425,6037,do_gia_dung
2704319072,Cuckdd 2.0 Liter High Quality Glass Kettle Model Gd-St16 - Kettle with Led Light - Automatically Shuts Off When Boiling,92000,4.9,335,Vietnam,No Brand,Vietstore24h,https://vn-live-01.slatic.net/p/2148bc21100a4eada4080cfbc008de43.jpg,"[4400, 4425, 6037, 4433]",1200.0,0.49,4400,4425,6037,do_gia_dung
2396422483,Ấm đun nước siêu tốc Thái Lan 2.5L JIPLAI - Ấm nước siêu tốc lõi inox 304 - Ấm điện siêu tốc công suất lớn cách nhiệt an toàn,79000,4.8,21,Vietnam,No Brand,THANH CONG PLUS,https://vn-live-01.slatic.net/p/e5be0efbae4bea5112dcbf06432590f6.jpg,"[4400, 4425, 6037, 4433]",60.0,0.44,4400,4425,6037,do_gia_dung
2400325458,"Ấm đun siêu tốc, Bình Đun Nước Siêu Tốc Thủy Tinh Cuckoo Dung Tích 2L, Công suất 1500W, Ấm Siêu Tốc Trong Suốt thuỷ tinh chống sốc nhiệt, có Đèn Led, Tự Ngắt Khi Sôi, Bình Siêu Tốc, Ấm Đun Nước, Ấm Siêu Tốc Mini",79000,4.8,272,Vietnam,No Brand,Gia Dụng HN Thông Minh,https://vn-live-01.slatic.net/p/cb4146dcf1352e93e9218e1dec88faff.png,"[4400, 4425, 6037, 4433]",826.0,0.2,4400,4425,6037,do_gia_dung
2412515720,"Windproof Dice Lighter, Refills Fuel When It Runs Out, Options for Non-Flammable and Flammable Types.",51355,4.8,558,Vietnam,No Brand,Minh An_Lighters,https://filebroker-cdn.lazada.vn/kf/S410f88600fa0467c8e366ddcbec6ead42.jpg,"[10100539, 14440, 8931]",1800.0,0.23,10100539,14440,8931,do_gia_dung
880374670,Stainless Steel Orange Squeezer,59000,5.0,3,Vietnam,No Brand,Gian hàng gia dụng toàn quốc,https://vn-live-01.slatic.net/p/1c9bc04d71e179575854a5195fe354d9.jpg,"[4400, 4425, 6037, 4438]",0.0,0.0,4400,4425,6037,do_gia_dung
464904669,Bình bơm siro thủy tinh/nhựa 1100ml có vòi bơm (10cc) - Gia store,63900,4.5,8,Vietnam,OEM,Gia,https://vn-live-01.slatic.net/p/35137478523b6be061c2db7a6a5e1bcf.jpg,"[12648, 62552404, 12673, 12789]",74.0,0.0,12648,62552404,12673,do_gia_dung
662932392,Orange Juice Extractor - Transparent Orange Juicer,29000,5.0,3,Vietnam,No Brand,Gian hàng gia dụng toàn quốc,https://vn-live-01.slatic.net/p/a716296c972cd17eaa42713026a22ac8.jpg,"[4400, 4425, 6037, 4438]",28.0,0.0,4400,4425,6037,do_gia_dung
