itemId,name,price,ratingScore,review,location,brandName,sellerName,image,categories,itemSoldCntShow,discount,cat_1,cat_2,cat_3,category
2952811943,MOLAN Men's Jeans Loose Casual Straight-Leg Men's Trousers,172000,4.9,369,China,MOLAN,MOLAN Shopping Mall,https://sg-test-11.slatic.net/p/a58f734a83eb60e42d85c6f85314e1a2.jpg,"[62541004, 62540403, 6414]",1100.0,0.55,62541004,62540403,6414,thoi_trang_nam
1666890707,"Quần đùi nam Guzado, Quần Short nam phong cách thể thao khỏe khoắn, chất gió mềm siêu mịn, co giãn tốt, vận động thoải mái SR2201",105000,4.9,8166,Vietnam,Guzado,Guzado Fashion,https://vn-live-01.slatic.net/p/68258e25157245d17678019f33ee2bc0.png,"[62541004, 62540403, 10100765]",29600.0,0.38,62541004,62540403,10100765,thoi_trang_nam
455100418,Camel men's sneakers wear-resistant breathable sport shoes marathon running shoes,523240,4.9,1082,China,CAMEL,Cameljeans,https://my-live-01.slatic.net/p/7011405033b29d9ef4051be84594a3d0.jpg,"[42062401, 7475, 7528]",2400.0,0.48,42062401,7475,7528,thoi_trang_nam
1441626229,"Promax-S1 Men's Sports Polo Shirt, Gym Shirt, Running Shirt, Breathable, Absorbent for Pickleball, Tennis, Coolmate Logo",189000,4.9,7146,Vietnam,Coolmate,Coolmate,https://vn-live-01.slatic.net/p/b748bc2e36c53adaec15a13b69c8163f.png,"[62541004, 62540605, 14275]",38800.0,0.21,62541004,62540605,14275,thoi_trang_nam
2187317329,Combo 3 Quần Short thể thao Ultra Pro thoải mái vận động - Coolmate,419000,5.0,1325,Vietnam,Coolmate,Coolmate,https://vn-live-01.slatic.net/p/166a211921a60778a7b704b8f61caf8c.png,"[42062401, 7527, 11966]",4000.0,0.26,42062401,7527,11966,thoi_trang_nam
3143494381,"Combo 3 Quần đùi Nam Nữ basic vải da cá coton , Thoáng mát đi chơi du lịch đi biển QTS02",59600,4.9,75,Vietnam,No Brand,Tmshop 96,https://vn-live-01.slatic.net/p/78a731b8874306f2057153ab96163975.png,"[62541004, 62540403, 10100765]",265.0,0.25,62541004,62540403,10100765,thoi_trang_nam
3139950508,"Men's Khaki Shorts, Fashionable Above-The-Knee Style, Youthful Khaki Shorts",75000,4.8,56,Vietnam,No Brand,ZUKI shop TH,https://vn-live-01.slatic.net/p/4646b0321fd35b2537b79b17a56dd909.jpg,"[62541004, 62540403, 10100765]",240.0,0.5,62541004,62540403,10100765,thoi_trang_nam
1649019273,Quần jean nam quảng châu SIÊU CẤP phối họa tiết rách đẹp chất thời trang chất vải bò nhập co dãn tốt chuẩn phong cách shop,79000,4.8,94,Vietnam,No Brand,Quang_thời_trang,https://vn-live-01.slatic.net/p/5a0018968ceffc1a28dbc073ef7c587a.jpg,"[62541004, 62540403, 6414]",368.0,0.5,62541004,62540403,6414,thoi_trang_nam
370124158,Quần tây nam co giãn ống côn body phong cách Hàn quốc có Big Size,99000,4.6,332,Vietnam,No Brand,PhươngTu,https://vn-live-01.slatic.net/p/19a53dd10bf2c2633be354cb7fe082a7.jpg,"[62541004, 8017]",1700.0,0.34,62541004,8017,0,thoi_trang_nam
3155193134,Giày Thể Thao Nam Nút Vặn H081 Kiểu Dáng Thời Trang,209000,4.8,30,Vietnam,No Brand,Betino Sneaker,https://vn-live-01.slatic.net/p/1229969db1f48935bc4916c3a7b476f0.jpg,"[62541201, 6371]",111.0,0.28,62541201,6371,0,thoi_trang_nam
