itemId,name,price,ratingScore,review,location,brandName,sellerName,image,categories,itemSoldCntShow,discount,cat_1,cat_2,cat_3,category
13346626154,Spring 2024 Women's High Waist A-Line Black Mini Skirt School Style Fashion Umbrella Skirt Slimming Half-length Skirts,53900,4.8,,China,No Brand,Lazada Global,https://filebroker-cdn.lazada.vn/kf/S56fd8707b3b0460a85d5357ea0f4f1f8C.jpg,"[62540802, 62541005, 6401]",63.0,0.3,62540802,62541005,6401,thoi_trang_nu
3180438532,Đầm thời trang nữ phong cách hiện đại chất cotton lạnh tay ngắn cổ V cột nơ họa tiết chấm bi váy dáng mini xòe kèm lót,145000,5.0,5,Vietnam,No Brand,ShopNimiu,https://vn-live-01.slatic.net/p/b56103fac5accb01e6bd4d8446ac838d.jpg,"[62540802, 6396]",28.0,0.5,62540802,6396,0,thoi_trang_nu
3064158373,Quần tây nữ lưng cao dáng baggy cạp cao phối 3 khuy siêu tôn dáng chuẩn đẹp đứng form chất vải vitex dày dặn,79000,4.9,28,Vietnam,No Brand,Xưởng quần Tây Nữ 3A,https://sg-test-11.slatic.net/p/b9b0792f2cf57aaa26d593e1e1b3812c.jpg,"[62540802, 62541005, 7954]",130.0,0.33,62540802,62541005,7954,thoi_trang_nu
945526780,Búi tóc giả nữ thời trang trung niên chất liệu dầy đẹp - Búi rối,40000,4.9,513,Vietnam,No Brand,Tóc giả thời trang TẤM XINH,https://vn-live-01.slatic.net/p/af191b0e00d3d6cfe33e970dba25a8b3.png,"[4405, 4956, 4879, 4949, 4955]",3700.0,0.2,4405,4956,4879,thoi_trang_nu
2423793104,"Office Skirt with Split Back in Thick, Smooth Snow Fabric, Wrinkle-Free Fabric, Super Beautiful A-Line Long Skirt Ht099",79000,4.8,210,Vietnam,No Brand,FASHION Ánh Dương,https://vn-live-01.slatic.net/p/ea7b1fa9ebcc62d536b2017488193a65.jpg,"[62540802, 62541005, 6401]",832.0,0.41,62540802,62541005,6401,thoi_trang_nu
2506041719,"Kẹp Tóc Nơ Lớn Cho Nữ S, Kẹp Phụ Kiện Tóc Cổ Tích",7000,5.0,1792,Vietnam,No Brand,BkYxzh.Selection,https://filebroker-cdn.lazada.sg/kf/S5f6bfee8029941bb8ee1e55defffc5d4m.jpg,"[8943, 7811, 7827]",8700.0,0.38,8943,7811,7827,thoi_trang_nu
1409350889,New Style Women's Office Trousers in Multi-Colored Cold Cotton Fabric,93900,4.8,3649,Vietnam,No Brand,TH Office Style (by Tuấn Hưng Style),https://vn-live-01.slatic.net/p/1d232b6af0694cd43464d135f6fbca40.jpg,"[62540802, 62541005, 7954]",15000.0,0.33,62540802,62541005,7954,thoi_trang_nu
2423057200,"Women's Wide-Leg High-Waist Trousers with Elastic Waistband to Hug the Waist, Flattering, Beautiful Office Fashion, Beautiful Thick Snow and Rain Fabric.",89000,4.9,974,Vietnam,No Brand,Xưởng May Song Anh,https://sg-test-11.slatic.net/p/db099deb6fa46a281bc4424f23c218c8.jpg,"[62540802, 62541005, 7954]",2600.0,0.55,62540802,62541005,7954,thoi_trang_nu
932298936,ĐẦM SUÔNG DỰ TIỆC PHỐI REN KÈM THẮT LƯNG SIÊU DỄ THƯƠNG,89000,4.8,322,Vietnam,No Brand,GIA KHANG_SHOP,https://vn-live-01.slatic.net/p/0a7f97ab37d9b6d73933da4cefe277be.jpg,"[62540802, 6396]",1400.0,0.5,62540802,6396,0,thoi_trang_nu
13325507208,Black White Striped Short Socks Women's Summer Thin Sporty Letter R Boat Socks Breathable Moisture Wicking Cute Double Pack,44000,4.8,,Hong Kong,No Brand,TB FASHION STORE,https://filebroker-cdn.lazada.vn/kf/S4fc7e4b503e8443f8e05167ac879d8c8Q.jpg,"[62188201, 62540608, 1800, 62542606, 4133]",0.0,0.0,62188201,62540608,1800,thoi_trang_nu
