itemId,name,price,ratingScore,review,location,brandName,sellerName,image,categories,itemSoldCntShow,discount,cat_1,cat_2,cat_3,category
3231013848,Meiji | Seasonal Washable Anti-Collision Soft Bed Rail Baby Bed 100% Cotton,825000,4.7,,China,Meiji,MG home textiles,https://filebroker-cdn.lazada.vn/kf/S914d08d620c144ca92de3ba4b6f34689n.jpg,"[10550, 10632, 10633, 10642]",0.0,0.58,10550,10632,10633,me_va_be
3222100924,Va Meganet Color Changing Road Glasses Anti-Dust Uv400 Protection for Men and Women for Road Users,160000,4.8,16,Vietnam,No Brand,VA MEGANET,https://vn-live-01.slatic.net/p/ead6a2b0e6119828c322e4f1c047ebe6.jpg,"[4303, 12380, 13303, 13545]",72.0,0.47,4303,12380,13303,me_va_be
3019497210,"Kính cường lực Cho Samsung Tab Tab S10 FE, S10 Plus, S10 FE Plus, S10 Ultra, Tab S9, S9 FE, S9 Plus, S9 FE Plus, S9 Ultra chính hãng Galss Pro Chống va đập",99000,5.0,4,Vietnam,Pro Glass,PhukienHD Store,https://sg-test-11.slatic.net/p/772851245ba6e796d23e30c67d558a59.jpg,"[42062201, 4522, 4528]",10.0,0.34,42062201,4522,4528,me_va_be
3016791077,Miếng Bọc tay nắm cửa silicon chống va chạm an toàn cho bé (1 cái/3cái),9900,4.5,54,Vietnam,P PMC,ProTool Hub,https://vn-live-01.slatic.net/p/971b772f65c23fc489fb984cd88133ee.jpg,"[12645, 12652, 62553203, 12724]",643.0,0.01,12645,12652,62553203,me_va_be
2263957345,"Miếng dán cường lực dẻo màng hình phụ OPPO Find N2 Flip, chống va chập, trầy xước toàn diện",18500,5.0,2,Vietnam,No Brand,AK-SKIN3,https://vn-live-01.slatic.net/p/4bf61e79a458aff38fd17f3f619e734f.jpg,"[42062201, 4522, 4528]",10.0,0.29,42062201,4522,4528,me_va_be
1689678769,"[HCM]Ván trượt thể thao dành cho trẻ em từ 2 tuổi trở lên,thiết kế chăc chắn, độ bền cao chống va đập,cân bằng an toàn. Ván Trượt Size 45cm - 60cm- 70cm -80cm",99000,4.5,158,Vietnam,No Brand,SHOP ĐỒ CHƠI TRẺ EM SIÊU RẺ,https://vn-live-01.slatic.net/p/8aba0e1a38ee77c952907d5b1c446d19.png,"[1355, 6593, 6988, 7220]",689.0,0.5,1355,6593,6988,me_va_be
3229813537,"Kiếm bay Có Điều Khiển Cử Chỉ,kiếm bay điều khiển từ xa,Đồ Chơi Bay,An Toàn, Chống Va Đập, Chống Rơi",256000,5.0,1,Vietnam,No Brand,bảo phát 88,https://filebroker-cdn.lazada.vn/kf/S19ab78befcf041ec91bacb0b98cb6ee8T.jpg,"[10216, 10223, 10268, 10504]",12.0,0.0,10216,10223,10268,me_va_be
2198994136,"Máy Xay Sinh Tố Đa Năng Cầm Tay Meet Juice - Xay cực nhanh 9s, cao cấp, an toàn .Thiết kế sang trọng, chắc chắn. Tháo lắp dễ dàng. Cối xay bằng nhựa cao cấp chống va đập. Chân đế chống trượt.",580000,5.0,152,Vietnam,No Brand,NHẤT BẢO STORE ,https://filebroker-cdn.lazada.vn/kf/S905d8252cb114b7aa1c6f6de0ee0bb41m.jpg,"[4400, 4425, 6037, 4438]",2700.0,0.32,4400,4425,6037,me_va_be
1318657376,[HCM]Kính Cường lực dẻo OPPO A74 / A74 5G Bảo vệ màng hình chống va đập chống trầy xước tiệt đối,19000,5.0,5,Vietnam,No Brand,AK-SKIN3,https://vn-live-01.slatic.net/p/151b423f7f8b29b50044c7ea7b92525e.jpg,"[42062201, 4522, 4528]",65.0,0.1,42062201,4522,4528,me_va_be
2275578958,"Máy Xay Sinh Tố Đa Năng Cầm Tay Meet Juice - Xay cực nhanh 9s, cao cấp, an toàn .Thiết kế sang trọng, chắc chắn. Tháo lắp dễ dàng. Cối xay bằng nhựa cao cấp chống va đập. Chân đế chống trượt.",279000,5.0,9,Vietnam,No Brand,Đăng Quang Shop,https://vn-live-01.slatic.net/p/cd0bedec7698ce40c46aa2f301251a3e.png,"[4400, 4425, 6037, 4438]",54.0,0.28,4400,4425,6037,me_va_be
