itemId,name,price,ratingScore,review,location,brandName,sellerName,image,categories,itemSoldCntShow,discount,cat_1,cat_2,cat_3,category
2677128455,"Bộ vương miện, đũa thần công chúa Elsa",59000,4.7,7,Vietnam,No Brand,Dâu Táo Shop,https://sg-test-11.slatic.net/p/865c1d32809023d37f9f1a47e0f14c33.jpg,"[62188201, 62541009, 10858, 10861]",27.0,0.0,62188201,62541009,10858,phu_kien_thoi_trang
215789794,Mắt kính gọng nhựa trong suốt màu xám đen như hình,35000,4.9,0,Vietnam,HK,Cửa Hàng Huy Khang,https://vn-live-01.slatic.net/original/e30b57b1fc01574059c20aeddc0301b0.jpg,"[8943, 3504, 10100750, 13574]",0.0,0.33,8943,3504,10100750,phu_kien_thoi_trang
3171533010,[Accessories] Pilot Goggles & 7-Color Mirrored Uv Glasses - Decorate 1/2 Helmets - Super Beautiful Half-Helmet,27999,5.0,2,Vietnam,No Brand,DAN Leather,https://vn-test-11.slatic.net/p/d6b963db622b5d66c815f7a6ddff0d24.jpg,"[4303, 12380, 13303, 13548]",10.0,0.0,4303,12380,13303,phu_kien_thoi_trang
3101984184,"Mũ Nữ Chống Nắng Vành Rộng,Che Mặt Cổ Toàn Diện,Chống Tia UV,Tích Hợp Khẩu Trang,Bảo Vệ Cổ",70405,5.0,6,Vietnam,Nobrand,Allieuka2,https://sg-test-11.slatic.net/p/8c068312d6b69dbe1257c23062a34908.jpg,"[42062401, 13153, 13226]",39.0,0.21,42062401,13153,13226,phu_kien_thoi_trang
2666394395,[PHỤ KIỆN] Kính Phi Công & Kính UV Tráng Gương 7 Màu - Trang Trí Nón Bảo Hiểm 1/2 - Mũ Bảo Hiểm Nửa Đầu Siêu Đẹp,35000,5.0,9,Vietnam,No Brand,Shop Nón Thiên Ân,https://vn-live-01.slatic.net/p/d6b963db622b5d66c815f7a6ddff0d24.jpg,"[4303, 12380, 13303, 13548]",26.0,0.3,4303,12380,13303,phu_kien_thoi_trang
2531219228,Năm 1985 hãng phim Unisex Spring And Summer Ins Fashion Sunshade Baseball Cap,11900,5.0,2354,Vietnam,No Brand,d3odSmYq.Selection,https://filebroker-cdn.lazada.sg/kf/Sb946c03892ef40838496ddfcd1386656w.jpg,"[8943, 7811, 7824]",11400.0,0.34,8943,7811,7824,phu_kien_thoi_trang
3165056410,🌹Khẩu Trang bản to Liền Quai Nón Lá🌹Thun 2 lớp handmade🌹nhiều màu-dày hơn- to hơn,29000,4.9,,Vietnam,No Brand,Phụ Kiện Chống Nắng 71BT,https://filebroker-cdn.lazada.vn/kf/Sea87f74e2d194f2da3f897ff190e0017p.jpg,"[8943, 7811, 42055002]",0.0,0.0,8943,7811,42055002,phu_kien_thoi_trang
3165050970,"Mặt Nạ Kính Bảo Vệ Mặt Acrylic Trong Suốt Chống Bụi Có Lỗ Thoát Khí Chống Giọt bắɴ - Phụ Kiện, Nam, Nữ",45000,4.9,,Vietnam,No Brand,Hà Gia Dụng Tiện Ích,https://sg-test-11.slatic.net/p/52bc5090d6887d4950b660d6ddabc5a6.jpg,"[12646, 12660, 12658, 12883]",6.0,0.31,12646,12660,12658,phu_kien_thoi_trang
2389748733,Folding Sunglasses Women 2023 New Korean Fashion Glasses Vintage Rice Spike Glasses PTQ,12479,5.0,61,China,PTQ,PTQ Glasses Shop,https://sg-test-11.slatic.net/p/0b12297d2609dad7ad66fb117c0c0b3f.jpg,"[8943, 3504, 13326]",0.0,0.64,8943,3504,13326,phu_kien_thoi_trang
2472881544,Vương miện cô dâu nhiều mã,68000,5.0,15,Vietnam,No Brand,homezdecor,https://sg-test-11.slatic.net/p/6b1ddc1f1580b9528d6869be4cc709c5.jpg,"[8943, 7811, 7827]",67.0,0.0,8943,7811,7827,phu_kien_thoi_trang
