itemId,name,price,ratingScore,review,location,brandName,sellerName,image,categories,itemSoldCntShow,discount,cat_1,cat_2,cat_3,category
1441626229,"Promax-S1 Men's Sports Polo Shirt, Gym Shirt, Running Shirt, Breathable, Absorbent for Pickleball, Tennis, Coolmate Logo",189000,4.9,7146,Vietnam,Coolmate,Coolmate,https://vn-live-01.slatic.net/p/b748bc2e36c53adaec15a13b69c8163f.png,"[62541004, 62540605, 14275]",38800.0,0.21,62541004,62540605,14275,the_thao
2440020129,Áo Thể Thao Polo  - Áo Thể Thao Nam Hè,149000,4.9,32,Vietnam,Polo Ralph Lauren,HL KingOfSport,https://vn-live-01.slatic.net/p/4fa1761bbffc74d3002cdf443ced66fb.jpg,"[42062401, 7527, 7545]",59.0,0.1,42062401,7527,7545,the_thao
2058959818,Giày Chạy Bộ Nam Mới 2025 Giày Thể Thao Thoáng Khí Thời Trang Giày Thể Thao Có Đệm Giày Đi Bộ Chạy Bộ Đế Bằng Chống Trượt Cho Nữ,399000,5.0,9,China,OEM,My Love Fashion Store,https://vn-live-01.slatic.net/p/f8ca0a4ad071f3146f484a2876f21fab.jpg,"[42062401, 7475, 7528]",49.0,0.34,42062401,7475,7528,the_thao
2246976632,"High-Quality, Stretchy, Breathable, New Model Sports Shirt for Badminton, Pickleball, Volleyball, Table Tennis (Ln129)",90000,4.9,178,Vietnam,No Brand,ĐỒ THỂ THAO KIM PHÚC,https://vn-live-01.slatic.net/p/c8ee3aeec1b8cb3d946b834668285cb9.png,"[42062401, 7527, 7545]",581.0,0.4,42062401,7527,7545,the_thao
2185724932,"Badminton, volleyball, table tennis 2024, etc. (Code ta113)",90000,4.9,29,Vietnam,No Brand,ĐỒ THỂ THAO KIM PHÚC,https://vn-live-01.slatic.net/p/d5da668c62b7c1537d6762b3aa19a1ce.png,"[42062401, 7527, 7545]",75.0,0.4,42062401,7527,7545,the_thao
1667031104,"[Giveaway for 599K Only on October 26] Guzado Sports Shorts, Men's Sports Shorts, Super Soft and Smooth Fabric, Good Elasticity, Comfortable Movement, Pants for Wearing at Home or Playing Sports Gsr01",105000,4.9,14782,Vietnam,Guzado,Guzado Fashion,https://vn-live-01.slatic.net/p/e1daa4b4545c5862cd0d9db04d298713.jpg,"[62541004, 62540403, 7991]",69100.0,0.38,62541004,62540403,7991,the_thao
3222393830,Sports Clothing for Men and Women 30-120kg - Active Printed Sportswear Set with 4-Way Stretch for Running and Gym Workouts. Code D26,99999,5.0,3,Vietnam,No Brand,minmouse01,https://vn-live-01.slatic.net/p/50b31ed1fe78709a9a2c8520e243ab03.jpg,"[42062401, 7527, 7545]",18.0,0.09,42062401,7527,7545,the_thao
2246974638,"High-Quality, Stretchy, Breathable, New Model Sports Shirt for Badminton, Pickleball, Volleyball, Table Tennis (Ln136)",90000,4.9,62,Vietnam,No Brand,ĐỒ THỂ THAO KIM PHÚC,https://vn-live-01.slatic.net/p/7f29dc21fe0c959c68f0f7907dae52c2.png,"[42062401, 7527, 7545]",176.0,0.4,42062401,7527,7545,the_thao
2409599221,"High-Quality, Stretchy, Breathable, New Model Sports Shirt for Badminton, Pickleball, Volleyball, Table Tennis (Ln201)",90000,5.0,8,Vietnam,No Brand,ĐỒ THỂ THAO KIM PHÚC,https://vn-live-01.slatic.net/p/6425eeabb0cb1d908ce53d6b91442912.png,"[42062401, 7527, 7545]",39.0,0.4,42062401,7527,7545,the_thao
3015872210,British Style Spring 574 Sports Shoes Breathable Anti-slip Durable Unisex Running Shoes Comfortable Cushioned Flat Heel,300200,5.0,3,Hong Kong,No Brand,TB FASHION STORE,https://filebroker-cdn.lazada.vn/kf/S4ecf69235da748f49ba956c52cd1f26c8.jpg,"[42062401, 7473, 7491]",340.0,0.05,42062401,7473,7491,the_thao
